thread,Thread is the smallest sequence of programmed instructions that can be managed independently by a scheduler,,,
Full-Stack,Full-stack is developer who can cover across front-end and back-end development areas,,,
framework,Framework is a development environment that provides a structure for developing programs,,,
markup language,"Markup Language is a language that displays the structure of a document or data using tags, etc.",,,
bug,Bug is nexpected errors or malfunctions in the software,,,
exception,Exception is to anticipate the possibility of an error and prevent programs from shutting down abnormally,,,
traffic,Traffic is mount of data transferred through the server,,,
DB,"DB is programs that manage to store, modify, and extract data through databases",,,
query,Query is precise request for information retrieval with database and information systems,,,
relational database,Relational database is a digital database based on the relational model of data,,,
API,API is short for an application programming interface is an interface that defines interactions between multiple software applications or mixed hardware-software intermediaries,,,
open source,Open source is source code that is made freely available for possible modification and redistribution,,,
SDK,SDK is short for Software Development Kit,,,
IDE,"IDE is short fot Integrated development environment, a software application for software development",,,
domain,Domain is the targeted subject area of a computer program,,,
DNS,"DNS is short for Domain Name System, is a hierarchical and decentralized naming system for computers, services, or other resources connected to the Internet or a private network",,,
protocol,"Protocol is a term used by particular object-oriented programming languages with a variety of specific meanings, which other languages may term interface or trait",,,
AJAX,"AJAX is short for Async JavaScript and XML, is a set of web development techniques using many web technologies on the client-side to create asynchronous web applications",,,
git,"Git is software for tracking changes in any set of files, usually used for coordinating work among programmers collaboratively developing source code during software development",,,
incremental search,Incremental Search is a user interface interaction method to progressively search for and filter through text,,,
context menu,"A context menu is a menu in a graphical user interface (GUI) that appears upon user interaction, such as a right-click mouse operation",,,
MRU,MRU is short for Most Recently Used,,,
progress indicator,"Progress indicator is an element of a command-line interface, a textual user interface, or a graphical user interface that is intended to inform the user that an operation is in progress",,,
IA,IA is short for Information architecture is the structural design of shared information environments,,,
placeholder,"Placeholder is word that can refer to things or people whose names do not exist, are temporarily forgotten, irrelevant, or unknown in the context in which they are being discussed",,,
radio button,A radio button is a graphical control element that allows the user to choose only one of a predefined set of mutually exclusive options,,,
Btn,Btn is short for Button,,,
Splash,"A splash is a graphical control element consisting of a window containing an image, a logo, and the current version of the software",,,
mental model,Mental model is an explanation of someone's thought process about how something works in the real world,,,
mockup,"Mockup, is a scale or full-size model of a design or device, used for teaching, demonstration, design evaluation, promotion, and other purposes",,,
persona,"Persona, depending on the context, can refer to either the public image of one's personality, or the social role that one adopts, or a fictional character",,,
user journey,"User journey is the experiences a person has when interacting with something, typically software",,,
ARPPU,"ARPPU is short for Average revenue per user is a measure used primarily by consumer communications, digital media, and networking companies, defined as the total revenue divided by the number of subscribers",,,
CTR,"CTR is short for Click-through rate is the ratio of users who click on a specific link to the number of total users who view a page, email, or advertisement",,,
deep link,"Deep linking is the use of a hyperlink that links to a specific, generally searchable or indexed, piece of web content on a website, rather than the website's home page",,,
ROAS,ROAD is short for Return On Advertising Spend,,,
TF,TF is short for Task Force is a unit or formation established to work on a single defined task or activity,,,
ISP,"ISP is short for Internet service provider is an organization that provides a myriad of services for accessing, using, or participating in the Internet",,,
RFP,REP is short for a request for proposal is a document that solicits proposal,,,
RFI,RFI is short for a request for information is a common business process whose purpose is to collect written information about the capabilities of various suppliers,,,
RFQ,RFQ is short for a request for quotation is a business process in which a company or public entity requests a quote from a supplier for the purchase of specific products or services,,,
WBS,WBS is short for work-breakdown structure in project management and systems engineering,,,
POC,POC is short for point of concept is a person or a department serving as the coordinator or focal point of information concerning an activity or program,,,
CSF,CSF is short for Critical success factor is a management term for an element that is necessary for an organization or project to achieve its mission,,,
SMB,SMB is short for Small and medium-sized business,,,
RSVP,"RSVP mean ""Please respond""",,,
FYI,"FYI  is a common abbreviation of ""for your information""",,,
TBD,"TBD means details may have been determined, but are not yet ready to be announced",,,
kick-off,Kick-off means the first meeting on the agenda,,,
PM,PM is short for Project manager,,,
agenda,"Agenda is points to be discussed and acted upon, displayed as a list",,,
pictogram,Pictogram is a graphic symbol that conveys its meaning through its pictorial resemblance to a physical object,,,
assign,Assign means dividing a task,,,
positioning,Positioning means creating an identity in the minds of a target market,,,
R&R,R&R is short for Role and responsibilities,,,
CC,CC is short for Carbon copy,,,
F/U,F/U is short for Follow up,,,
FW,FW is short for Forward,,,
BCC,BCC is short for Blind Carbon Copy,,,
wrap-up,Wrap-up means to complete or finish something,,,
soft copy,Soft copy mans digital docs,,,
N/A,N/A is short for Not appicable,,,
EOM,EOM is short for End of message,,,
EOD,EOD is short for End of date,,,
MS,MS is short for Co. Microsoft,,,
PS,PS is short for Photoshop,,,
AE,AE is short for After effect,,,
C4D,C4D is short for Cinema 4D ,,,
Serif,Serif is a small line or stroke regularly attached to the end of a larger stroke in a letter or symbol within a particular font or family of fonts,,,
Sans-serif,Sans-serif is one that does not have extending features at the end of strokes,,,
HCI,HCI is short for Human computer interaction,,,
FNB,FNB is short for Foot navigatioi bar,,,
LNB,LNB is short for Local navigation bar,,,
GNB,GNB is short for Global navigation bar,,,
SNB ,SNB is short for Side navigation bar,,,